refs/tags/n0.7.9,,2011-12-25
refs/tags/n0.6.4,,2011-12-25
refs/tags/n0.5.7,,2011-12-25
refs/tags/n0.9,,2011-12-11
refs/tags/n0.5.6,,2011-11-21
refs/tags/n0.7.8,,2011-11-21
refs/tags/n0.8.7,,2011-11-21
refs/tags/n0.5.5,,2011-11-06
refs/tags/n0.7.7,,2011-11-04
refs/tags/n0.8.6,,2011-11-04
refs/tags/n0.7.6,,2011-10-02
refs/tags/n0.8.5,,2011-10-02
refs/tags/n0.7.5,,2011-09-27
refs/tags/n0.8.4,,2011-09-27
refs/tags/n0.8.3,,2011-09-08
refs/tags/n0.7.4,,2011-09-08
refs/tags/n0.7.3,,2011-08-10
refs/tags/n0.8.2,,2011-08-10
refs/tags/n0.8.1,,2011-07-28
refs/tags/n0.7.2,,2011-07-28
refs/tags/n0.7.1,,2011-06-23
refs/tags/n0.8,,2011-06-21
not/a/tag/n0.7,1986380df2caaa663f63d0a3b9f0413a3d862757,2011-06-21
refs/tags/ffmpeg-0.6.3,,2011-04-27
not/a/tag/n0.6.2,99d3772ef464b276d50faa2dde6dd14fda40b237,2011-03-23
not/a/tag/n0.5.4,52ee20f2aa2936e0fb0a90e81c39135a8f2394e9,2011-03-17
refs/tags/v0.5.3,,2010-10-18
refs/tags/v0.6.1,,2010-10-18
refs/tags/v0.6,,2010-06-15
refs/tags/v0.5.2,,2010-05-25
refs/tags/v0.5.1,,2010-03-02
refs/tags/v0.5,beb93f987cef2f3a629caac29d143b2a1b901c6f,2009-03-09
